127.0.0.1 | 2026-04-25 20:59:21 | / | 200
127.0.0.1 | 2026-04-25 20:59:55 | /test.jpg | 200
127.0.0.1 | 2026-04-25 21:00:05 | /xxx | 404
127.0.0.1 | 2026-04-25 21:00:12 | /xxx | 404
127.0.0.1 | 2026-04-25 21:00:48 | / | 200
127.0.0.1 | 2026-04-25 21:02:24 | /index.html | 200
127.0.0.1 | 2026-04-25 21:03:44 | /index.html | 200
127.0.0.1 | 2026-04-25 21:03:51 | /index.html | 200
127.0.0.1 | 2026-04-25 21:03:52 | /index.html | 200
127.0.0.1 | 2026-04-25 21:03:52 | /index.html | 200
127.0.0.1 | 2026-04-25 21:03:53 | /index.html | 200
127.0.0.1 | 2026-04-25 21:03:53 | /index.html | 200
127.0.0.1 | 2026-04-25 21:06:19 | /index.html | 200
127.0.0.1 | 2026-04-25 21:06:25 | /index.html | 304
127.0.0.1 | 2026-04-25 21:06:26 | /index.html | 304
127.0.0.1 | 2026-04-25 21:06:26 | /index.html | 304
127.0.0.1 | 2026-04-25 21:06:27 | /index.html | 304
127.0.0.1 | 2026-04-25 21:06:28 | /index.html | 304
127.0.0.1 | 2026-04-25 21:06:38 | /server.py | 404
127.0.0.1 | 2026-04-25 21:16:25 | /server.py | 404
127.0.0.1 | 2026-04-25 21:28:52 | /../server.py | 403
127.0.0.1 | 2026-04-25 21:29:07 | REQUEST | 400
127.0.0.1 | 2026-04-25 21:31:44 | /server.py | 404
127.0.0.1 | 2026-04-25 21:31:47 | /server.py | 404
127.0.0.1 | 2026-04-25 21:32:01 | /server.py | 404
127.0.0.1 | 2026-04-25 21:32:05 | /server.py | 404
127.0.0.1 | 2026-04-25 21:32:10 | /%xx | 404
127.0.0.1 | 2026-04-25 21:32:18 | /server.py | 404
127.0.0.1 | 2026-04-25 21:32:18 | /server.py | 404
127.0.0.1 | 2026-04-25 21:32:49 | /server.py | 404
127.0.0.1 | 2026-04-25 21:32:53 | /%xx | 404
127.0.0.1 | 2026-04-25 21:33:02 | /server.py | 404
127.0.0.1 | 2026-04-25 21:33:02 | /server.py | 404
